"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 10 20:50:40 PDT 2023","Thu Aug 10 20:50:53 PDT 2023","12566","testCases","test_login","Test_Login","","","test_login_001",""
"passed","Thu Aug 10 20:49:15 PDT 2023","Thu Aug 10 20:49:15 PDT 2023","166","testCases","test_login","Test_Login","","","Page Title Test Case 001",""
